,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
242928,2018189358,ted.europa.eu/udl?uri=TED:NOTICE:189358-2018:TEXT:EN:HTML,"Madrid Destino Cultura Turismo y Negocio, S. A.",Madrid,28015,8,Education,U,22462000.0,346277.8,13.98,
242929,2018189359,ted.europa.eu/udl?uri=TED:NOTICE:189359-2018:TEXT:EN:HTML,"Dirección de Compras de la Corporación de Radio y Televisión Española, S. A.",Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,U,72590000.0,4290000.0,,
242930,2018189360,ted.europa.eu/udl?uri=TED:NOTICE:189360-2018:TEXT:EN:HTML,"Dirección de Compras de la Corporación de Radio y Televisión Española, S. A.",Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,U,72500000.0,2764000.0,,
243425,2018189496,ted.europa.eu/udl?uri=TED:NOTICE:189496-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Dos Hermanas,Dos Hermanas,41701,3,General public\services,U,44316400.0,423556.45,,
243701,2018189537,ted.europa.eu/udl?uri=TED:NOTICE:189537-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,U,38434510.0,499730.0,,
244968,2018190025,ted.europa.eu/udl?uri=TED:NOTICE:190025-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Granada,Granada,18071,3,General public\services,S,50312000.0,528000.0,,
245059,2018190451,ted.europa.eu/udl?uri=TED:NOTICE:190451-2018:TEXT:EN:HTML,"Metro de Madrid, Sociedad Anónima",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",W,45310000.0,21000000.0,,
245106,2018190535,ted.europa.eu/udl?uri=TED:NOTICE:190535-2018:TEXT:EN:HTML,"Renfe Viajeros SME, S. A., Gerencia de Área de Control de Gestión y Compras",Madrid,28007,4,Railway services,S,79990000.0,34626456.53,,
245116,2018190543,ted.europa.eu/udl?uri=TED:NOTICE:190543-2018:TEXT:EN:HTML,"Entidad Pública Empresarial Renfe-Operadora, D. G. Económico-Financiera, Dirección de Compras y Patrimonio---Renfe Alquiler de Material Ferroviario Sociedad Mercantil Estatal, S. A.---Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A.---Renfe Mercancías Sociedad Mercantil Estatal, S. A.---Renfe Viajeros Sociedad Mercantil Estatal, S. A.",Madrid---Madrid---Madrid---Madrid---Madrid,28036,4,Railway services,S,90917000.0,95000000.0,,
245171,2018190785,ted.europa.eu/udl?uri=TED:NOTICE:190785-2018:TEXT:EN:HTML,"Aena, S. M. E., S. A.",Madrid,28042,4,Airport-related activities,U,39150000.0,11646950.0,48.0,
245240,2018190884,ted.europa.eu/udl?uri=TED:NOTICE:190884-2018:TEXT:EN:HTML,European Fisheries Control Agency,Vigo,36201,5,General public\services,S,50700000.0,650000.0,,
245242,2018190894,ted.europa.eu/udl?uri=TED:NOTICE:190894-2018:TEXT:EN:HTML,"European Commission, JRC — Joint Research Centre, JRC.B — Growth and Innovation (Seville), JRC.B.7 — Knowledge for Finance, Innovation and Growth",Sevilla,E-41092,5,General public\services,S,73000000.0,360000.0,,
246257,2018191567,ted.europa.eu/udl?uri=TED:NOTICE:191567-2018:TEXT:EN:HTML,Fundación Centro Nacional de Investigaciones Cardiovasculares Carlos III,Madrid,28029,6,General public\services,S,50000000.0,2120000.0,,
246558,2018191725,ted.europa.eu/udl?uri=TED:NOTICE:191725-2018:TEXT:EN:HTML,The European Joint Undertaking for ITER and the development of Fusion Energy (&apos;Fusion for Energy&apos;),Barcelona,08019,8,Other,S,72000000.0,650000.0,,
246613,2018191755,ted.europa.eu/udl?uri=TED:NOTICE:191755-2018:TEXT:EN:HTML,Área Metropolitana de Barcelona,Barcelona,08040,3,General public\services,S,60000000.0,57004938.0,,
246778,2018192371,ted.europa.eu/udl?uri=TED:NOTICE:192371-2018:TEXT:EN:HTML,Consell Comarcal del Bages,Manresa,08241,3,General public\services,S,55523100.0,,45.36,
246787,2018192427,ted.europa.eu/udl?uri=TED:NOTICE:192427-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S. A.",Barcelona,08015,8,"General public\services,Other",U,32333200.0,308700.0,12.0,
246806,2018192480,ted.europa.eu/udl?uri=TED:NOTICE:192480-2018:TEXT:EN:HTML,Institut Català de la Salut — Hospital Universitari Vall d'Hebron,Barcelona,08035,6,Health,S,45315400.0,252568.0,5.0,
246807,2018192481,ted.europa.eu/udl?uri=TED:NOTICE:192481-2018:TEXT:EN:HTML,Ayuntamiento de la Anteiglesia de Erandio,Erandio,48950,3,General public\services,S,50118100.0,479338.84,24.0,
246811,2018192485,ted.europa.eu/udl?uri=TED:NOTICE:192485-2018:TEXT:EN:HTML,OSI Barakaldo-Sestao,Baracaldo,48902,3,Health,S,50000000.0,1030625.0,48.0,
246818,2018192524,ted.europa.eu/udl?uri=TED:NOTICE:192524-2018:TEXT:EN:HTML,Consorci d'Aigües de Tarragona,Tarragona,43006,4,Water,S,34100000.0,268800.0,48.0,
247172,2018192909,ted.europa.eu/udl?uri=TED:NOTICE:192909-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos del Mando de Canarias,Santa Cruz de Tenerife,38004,1,Defence,U,15000000.0,703082.57,,
247182,2018192910,ted.europa.eu/udl?uri=TED:NOTICE:192910-2018:TEXT:EN:HTML,Consorcio de Transportes de Bizkaia,Bilbao (Bizkaia),48014,3,General public\services,U,32552000.0,275383.9,,
247183,2018192911,ted.europa.eu/udl?uri=TED:NOTICE:192911-2018:TEXT:EN:HTML,Consorcio de Transportes de Bizkaia,Bilbao (Bizkaia),48014,3,Other,U,34940000.0,479849.82,,
247235,2018192922,ted.europa.eu/udl?uri=TED:NOTICE:192922-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos del Mando de Canarias,Santa Cruz de Tenerife,38004,1,Defence,U,15000000.0,670978.59,,
247245,2018192923,ted.europa.eu/udl?uri=TED:NOTICE:192923-2018:TEXT:EN:HTML,Consorcio de Transportes de Bizkaia,Bilbao (Bizkaia),48014,3,General public\services,U,32552000.0,223000.0,,
247246,2018192924,ted.europa.eu/udl?uri=TED:NOTICE:192924-2018:TEXT:EN:HTML,Consorcio de Transportes de Bizkaia,Bilbao (Bizkaia),48014,3,General public\services,U,45232300.0,305486.55,,
247544,2018192998,ted.europa.eu/udl?uri=TED:NOTICE:192998-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Soria,Soria,42002,3,General public\services,U,44140000.0,1409200.0,,
247718,2018193043,ted.europa.eu/udl?uri=TED:NOTICE:193043-2018:TEXT:EN:HTML,Pleno de la Diputación Provincial de Alicante,Alicante,03005,3,General public\services,U,9310000.0,46254039.49,,
247853,2018193438,ted.europa.eu/udl?uri=TED:NOTICE:193438-2018:TEXT:EN:HTML,Instituto Catalán de la Salud,Tarragona,43005,6,Health,S,85111000.0,2034008.26,,
247854,2018193439,ted.europa.eu/udl?uri=TED:NOTICE:193439-2018:TEXT:EN:HTML,Consorci de l&apos;Auditori i l&apos;Orquestra,Barcelona,08013,6,"Recreation, culture and religion",S,92312100.0,,,
247861,2018193444,ted.europa.eu/udl?uri=TED:NOTICE:193444-2018:TEXT:EN:HTML,Ayuntamiento de Valladolid,Valladolid,47001,3,General public\services,S,60112000.0,1188000.0,,
247862,2018193445,ted.europa.eu/udl?uri=TED:NOTICE:193445-2018:TEXT:EN:HTML,Ayuntamiento de Montehermoso,Montehermoso,10810,R,General public\services,S,85311000.0,16019666.7,,
248542,2018193658,ted.europa.eu/udl?uri=TED:NOTICE:193658-2018:TEXT:EN:HTML,"Gerencia de Emaya, Empresa Municipal d&apos;Aigües i Clavegueram, S. A.",Palma,07006,8,General public\services,S,65500000.0,240240.0,,
248543,2018193659,ted.europa.eu/udl?uri=TED:NOTICE:193659-2018:TEXT:EN:HTML,"FREMAP, Mutua Colaboradora con la Seguridad Social n.º 61",Madrid,28222,8,Other,S,32424000.0,271291.38,,
248595,2018194135,ted.europa.eu/udl?uri=TED:NOTICE:194135-2018:TEXT:EN:HTML,Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (Port de Barcelona),Barcelona,08039,4,Port-related activities,W,45252124.0,5570791.0,,
248657,2018194232,ted.europa.eu/udl?uri=TED:NOTICE:194232-2018:TEXT:EN:HTML,"Consejería Delegada de la Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla, S. A. (EMASESA)",Sevilla,41003,4,Water,S,65110000.0,5370200.02,,
248661,2018194236,ted.europa.eu/udl?uri=TED:NOTICE:194236-2018:TEXT:EN:HTML,"Renfe Viajeros Sociedad Mercantil Estatal, S. A.",Madrid,28007,4,Railway services,S,50710000.0,7721209.98,,
248664,2018194238,ted.europa.eu/udl?uri=TED:NOTICE:194238-2018:TEXT:EN:HTML,"Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A., G. Área de Control de Gestión y Compras",Madrid,28034,4,Railway services,S,50222000.0,328790000.0,,
248675,2018194243,ted.europa.eu/udl?uri=TED:NOTICE:194243-2018:TEXT:EN:HTML,"Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A., G. Área de Control de Gestión y Compras",Madrid,28034,4,Railway services,S,50222000.0,74500000.0,,
248678,2018194246,ted.europa.eu/udl?uri=TED:NOTICE:194246-2018:TEXT:EN:HTML,ENAIRE,Madrid,28022,4,Airport-related activities,S,50410000.0,542400.0,,
248697,2018194405,ted.europa.eu/udl?uri=TED:NOTICE:194405-2018:TEXT:EN:HTML,Instituto Navarro de Deporte y Juventud,Pamplona,31002,3,"General public\services,Other",U,31711200.0,,,
248699,2018194407,ted.europa.eu/udl?uri=TED:NOTICE:194407-2018:TEXT:EN:HTML,"Navarra de Infraestructuras Locales, S. A.",Pamplona,31008,8,Other,U,38300000.0,665900.0,48.0,
248701,2018194409,ted.europa.eu/udl?uri=TED:NOTICE:194409-2018:TEXT:EN:HTML,Universidad Pública de Navarra,Pamplona,31006,8,Education,U,32400000.0,,,
248703,2018194411,ted.europa.eu/udl?uri=TED:NOTICE:194411-2018:TEXT:EN:HTML,Fundación para la Investigacion Biomédica del Hospital Universitario 12 de Octubre,Madrid,28041,8,Other,U,24000000.0,29280000.0,48.0,
248710,2018194461,ted.europa.eu/udl?uri=TED:NOTICE:194461-2018:TEXT:EN:HTML,Ayuntamiento de Beasain,Beasain,20200,3,General public\services,S,66510000.0,428500.0,24.0,
248713,2018194464,ted.europa.eu/udl?uri=TED:NOTICE:194464-2018:TEXT:EN:HTML,"Gobierno de Navarra, Servicio de Patrimonio",Pamplona,31003,3,Economical anf Financial Affairs,S,90919200.0,4745760.8,12.0,
248714,2018194465,ted.europa.eu/udl?uri=TED:NOTICE:194465-2018:TEXT:EN:HTML,"Barcelona Activa, S. A. U., S. P. M.",Barcelona,08018,8,Other,S,85312300.0,595457.83,15.99,
249793,2018195104,ted.europa.eu/udl?uri=TED:NOTICE:195104-2018:TEXT:EN:HTML,Dirección General Osakidetza — Servicio Vasco de Salud,Vitoria-Gasteiz,,8,Health,U,31643100.0,6509000.0,,
249959,2018195493,ted.europa.eu/udl?uri=TED:NOTICE:195493-2018:TEXT:EN:HTML,Ayuntamiento de Alcorcón,Alcorcón,28921,3,General public\services,S,90910000.0,8378400.0,,
249961,2018195495,ted.europa.eu/udl?uri=TED:NOTICE:195495-2018:TEXT:EN:HTML,"Consellería de Economía, Empleo e Industria",Santiago de Compostela,15781,3,General public\services,S,79340000.0,1570247.93,,
250360,2018195688,ted.europa.eu/udl?uri=TED:NOTICE:195688-2018:TEXT:EN:HTML,"Gerencia UMIVALE, Mutua Colaboradora con la Seguridad Social número 15",Madrid,28046,8,Health,S,50800000.0,840000.0,,
250370,2018195691,ted.europa.eu/udl?uri=TED:NOTICE:195691-2018:TEXT:EN:HTML,Servicio Gallego de Salud — Área sanitaria de Santiago de Compostela y A Barbanza,Santiago de Compostela,15706,6,Health,S,55322000.0,497817.19,,
250380,2018195699,ted.europa.eu/udl?uri=TED:NOTICE:195699-2018:TEXT:EN:HTML,"Tracasa Instrumental, S. L.",Sarriguren,31621,6,Other,S,38221000.0,4800000.0,,
250820,2018195743,ted.europa.eu/udl?uri=TED:NOTICE:195743-2018:TEXT:EN:HTML,"Trabajos Catastrales, S. A. U.",Sarriguren,31621,6,Other,S,38221000.0,9600000.0,,
251050,2018196303,ted.europa.eu/udl?uri=TED:NOTICE:196303-2018:TEXT:EN:HTML,"Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A., G. Área de Control de Gestión y Compras",Madrid,28034,4,Railway services,S,50222000.0,45000000.0,,
251119,2018196413,ted.europa.eu/udl?uri=TED:NOTICE:196413-2018:TEXT:EN:HTML,Universidad de León,León,24004,R,"Education,Other",U,38500000.0,350000.0,3.0,
251120,2018196414,ted.europa.eu/udl?uri=TED:NOTICE:196414-2018:TEXT:EN:HTML,Universidad de León,León,24004,R,"Education,Other",U,38433100.0,231687.0,3.0,
251138,2018196467,ted.europa.eu/udl?uri=TED:NOTICE:196467-2018:TEXT:EN:HTML,Fundació Universitat Oberta de Catalunya,Barcelona,08018,8,Education,S,48190000.0,,24.0,
251140,2018196469,ted.europa.eu/udl?uri=TED:NOTICE:196469-2018:TEXT:EN:HTML,Universidad de Córdoba,Córdoba,14071,6,Education,S,73100000.0,9169114.0,48.0,
251548,2018196808,ted.europa.eu/udl?uri=TED:NOTICE:196808-2018:TEXT:EN:HTML,Ayuntamiento de Albacete — Gerencia Municipal de Urbanismo,Albacete,02005,R,General public\services,W,71410000.0,14500000.0,,
251764,2018197034,ted.europa.eu/udl?uri=TED:NOTICE:197034-2018:TEXT:EN:HTML,Gerencia del Hospital Intermutual de Levante,San Antonio de Benagéber (Valencia),46184,8,Health,U,33141770.0,906285.1,,
251765,2018197035,ted.europa.eu/udl?uri=TED:NOTICE:197035-2018:TEXT:EN:HTML,Hospital Clínic de Barcelona,Barcelona,08036,6,Health,U,31154000.0,122141065.7,,
251821,2018197046,ted.europa.eu/udl?uri=TED:NOTICE:197046-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de San Martín de la Vega,San Martín de la Vega,28330,3,General public\services,U,9310000.0,1146180.0,,
251827,2018197048,ted.europa.eu/udl?uri=TED:NOTICE:197048-2018:TEXT:EN:HTML,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire,Madrid,28071,1,Defence,U,34731000.0,924000.0,,
251828,2018197049,ted.europa.eu/udl?uri=TED:NOTICE:197049-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de Aljaraque,Aljaraque (Huelva),21110,3,General public\services,U,39293400.0,250331.76,,
252789,2018197220,ted.europa.eu/udl?uri=TED:NOTICE:197220-2018:TEXT:EN:HTML,"Alta Dirección de Activa Mutua 2008, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social",Reus,43204,8,General public\services,U,34110000.0,265010.0,,
252914,2018197624,ted.europa.eu/udl?uri=TED:NOTICE:197624-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Torrelavega,Torrelavega,39300,3,General public\services,S,50532000.0,2937500.0,,
252917,2018197625,ted.europa.eu/udl?uri=TED:NOTICE:197625-2018:TEXT:EN:HTML,Fundació Museu Picasso Barcelona,Barcelona,08003,8,"Recreation, culture and religion",S,90910000.0,2294999.99,,
252918,2018197626,ted.europa.eu/udl?uri=TED:NOTICE:197626-2018:TEXT:EN:HTML,Subdirección General de Servicios Económicos y Pagadurías,Madrid,28046,1,Defence,S,77500000.0,642070.99,11.97,
252940,2018197641,ted.europa.eu/udl?uri=TED:NOTICE:197641-2018:TEXT:EN:HTML,"Consejero delegado de Ingeniería de Sistemas para la Defensa de España, S. A., SME y MP",Madrid,28040,8,Defence,S,79411000.0,446300.0,,
252941,2018197642,ted.europa.eu/udl?uri=TED:NOTICE:197642-2018:TEXT:EN:HTML,Consejo General del Poder Judicial,Madrid,28004,6,General public\services,S,72000000.0,2519495.2,53.39,
252942,2018197643,ted.europa.eu/udl?uri=TED:NOTICE:197643-2018:TEXT:EN:HTML,Comité Ejecutivo del Consorcio de la Zona Franca de Cádiz,Cádiz,11011,6,General public\services,S,79341200.0,520000.0,,
252943,2018197644,ted.europa.eu/udl?uri=TED:NOTICE:197644-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Murcia,Murcia,30004,3,General public\services,S,90919300.0,11723300.34,,
252949,2018197648,ted.europa.eu/udl?uri=TED:NOTICE:197648-2018:TEXT:EN:HTML,"Gobierno de Navarra, Departamento de Desarrollo Económico",Pamplona,31002,3,Other,S,60100000.0,10206606.37,,
252950,2018197649,ted.europa.eu/udl?uri=TED:NOTICE:197649-2018:TEXT:EN:HTML,"Consejero delegado de Ingeniería de Sistemas para la Defensa de España, S. A., SME y MP",Madrid,28040,8,Defence,S,72000000.0,600000.0,,
252952,2018197650,ted.europa.eu/udl?uri=TED:NOTICE:197650-2018:TEXT:EN:HTML,Área Metropolitana de Barcelona,Barcelona,08040,R,General public\services,S,72243000.0,480060.5,,
253534,2018197902,ted.europa.eu/udl?uri=TED:NOTICE:197902-2018:TEXT:EN:HTML,Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,Torrejón de Ardoz (Madrid),28850,1,Defence,S,45259000.0,876479.33,17.57,
253590,2018197931,ted.europa.eu/udl?uri=TED:NOTICE:197931-2018:TEXT:EN:HTML,"Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social número 10",Barcelona,08022,8,General public\services,S,72510000.0,792000.0,,
253684,2018198398,ted.europa.eu/udl?uri=TED:NOTICE:198398-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Rincón de la Victoria,Rincón de la Victoria,29730,3,General public\services,S,75252000.0,520000.0,,
253736,2018198433,ted.europa.eu/udl?uri=TED:NOTICE:198433-2018:TEXT:EN:HTML,Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (Port de Barcelona),Barcelona,08039,4,Port-related activities,W,45112500.0,5973801.3,,
253828,2018198578,ted.europa.eu/udl?uri=TED:NOTICE:198578-2018:TEXT:EN:HTML,Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (Port de Barcelona),Barcelona,08039,4,Port-related activities,S,50111100.0,463000.0,,
253830,2018198579,ted.europa.eu/udl?uri=TED:NOTICE:198579-2018:TEXT:EN:HTML,"Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A., G. Área de Control de Gestión y Compras",Madrid,28034,4,Railway services,S,50220000.0,840000.0,,
253889,2018198705,ted.europa.eu/udl?uri=TED:NOTICE:198705-2018:TEXT:EN:HTML,Autoridad Portuaria de Alicante,Alicante,03001,6,Other,,63100000.0,,,
253893,2018198766,ted.europa.eu/udl?uri=TED:NOTICE:198766-2018:TEXT:EN:HTML,Ayuntamiento de Comillas,Comillas,39520,3,General public\services,U,39293400.0,476033.06,60.0,
253894,2018198767,ted.europa.eu/udl?uri=TED:NOTICE:198767-2018:TEXT:EN:HTML,"Asociación Navarra de Informática Municipal, S. A. (Animsa)",Pamplona,31002,8,Other,U,30213300.0,2205000.0,12.0,
253896,2018198768,ted.europa.eu/udl?uri=TED:NOTICE:198768-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona (Navarra),31002,3,Health,U,18424300.0,557887.52,12.0,
253897,2018198769,ted.europa.eu/udl?uri=TED:NOTICE:198769-2018:TEXT:EN:HTML,Universidad Complutense de Madrid,Madrid,28040,6,Education,U,39100000.0,14400000.0,24.0,
253899,2018198771,ted.europa.eu/udl?uri=TED:NOTICE:198771-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona,31002,3,Health,U,33100000.0,513553.71,,
253900,2018198772,ted.europa.eu/udl?uri=TED:NOTICE:198772-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona,31002,3,Health,U,33111000.0,,,
253907,2018198779,ted.europa.eu/udl?uri=TED:NOTICE:198779-2018:TEXT:EN:HTML,"Cementiris de Barcelona, S. A.",Barcelona,08038,8,"General public\services,Other",U,44911000.0,550000.0,24.0,
253919,2018198872,ted.europa.eu/udl?uri=TED:NOTICE:198872-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona,31002,3,Health,S,90524400.0,,,
253920,2018198873,ted.europa.eu/udl?uri=TED:NOTICE:198873-2018:TEXT:EN:HTML,Departamento de Educación del Gobierno de Navarra,Pamplona,31001,3,Education,S,60100000.0,,12.0,
253921,2018198874,ted.europa.eu/udl?uri=TED:NOTICE:198874-2018:TEXT:EN:HTML,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de Barcelona",Barcelona,08006,6,Other,S,80530000.0,65000.0,,
253922,2018198875,ted.europa.eu/udl?uri=TED:NOTICE:198875-2018:TEXT:EN:HTML,"Hospital Intermutual de Euskadi, Centro Mancomunado de Mutuas Colaboradoras con la Seguridad Social n.º 291",Bilbao,48007,8,Health,S,85121200.0,793439.8,24.0,
253923,2018198876,ted.europa.eu/udl?uri=TED:NOTICE:198876-2018:TEXT:EN:HTML,Ayuntamiento de Pamplona,Pamplona,31002,3,General public\services,S,77311000.0,3965289.26,36.02,
253926,2018198879,ted.europa.eu/udl?uri=TED:NOTICE:198879-2018:TEXT:EN:HTML,Universidad Pública de Navarra,Pamplona,31006,8,Education,S,50300000.0,,,
253927,2018198880,ted.europa.eu/udl?uri=TED:NOTICE:198880-2018:TEXT:EN:HTML,Ayuntamiento de Pamplona,Pamplona,31002,3,General public\services,S,92522000.0,618181.82,21.0,
253941,2018198894,ted.europa.eu/udl?uri=TED:NOTICE:198894-2018:TEXT:EN:HTML,Ayuntamiento de Estella-Lizarra,Estella-Lizarra,31200,3,General public\services,S,90919200.0,1112441.04,12.0,
254024,2018199094,ted.europa.eu/udl?uri=TED:NOTICE:199094-2018:TEXT:EN:HTML,The European Joint Undertaking for ITER and the Development of Fusion Energy (&quot;Fusion for Energy&quot;),Barcelona,08019,5,Other,U,38527100.0,120000.0,,
254025,2018199095,ted.europa.eu/udl?uri=TED:NOTICE:199095-2018:TEXT:EN:HTML,Oficina de Propiedad Intelectual de la Unión Europea,Alicante,03008,5,General public\services,U,30192000.0,2000000.0,,
254473,2018199457,ted.europa.eu/udl?uri=TED:NOTICE:199457-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,U,33181520.0,10846686.8,,
254491,2018199461,ted.europa.eu/udl?uri=TED:NOTICE:199461-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,U,38433100.0,984467.29,6.84,
255077,2018199563,ted.europa.eu/udl?uri=TED:NOTICE:199563-2018:TEXT:EN:HTML,Universidad del País Vasco/Euskal Herriko Unibertsitatea (UPV/EHU),Leioa,48940,6,Education,U,38433100.0,360000.0,,
255527,2018199580,ted.europa.eu/udl?uri=TED:NOTICE:199580-2018:TEXT:EN:HTML,Rectorado de la Universidad Complutense de Madrid,Madrid,28040,8,Education,U,30213100.0,16320000.0,,
255783,2018199868,ted.europa.eu/udl?uri=TED:NOTICE:199868-2018:TEXT:EN:HTML,Fundación Española para la Ciencia y la Tecnología,Alcobendas,28100,8,Economical anf Financial Affairs,S,90919000.0,926017.0,,
